pt_id,src,tax_family,species,species_class,cx,cy,minx,miny,maxx,maxy
17,polygon,Pandanaceae,Pandanus tectorius,other,572228.4815000002,2844756.941700001,572227.6437,2844753.4535000008,572232.691,2844758.4737
18,nomatch_fixed,,,unknown,572886.5035000002,2845168.9848000007,572883.0134500001,2845165.4947500005,572889.9935500004,2845172.474850001
19,merged_fixed,Sapotaceae,Chrysophyllum oliviforme,other,572284.5038000003,2845294.688400001,572281.0137500002,2845291.1983500007,572287.9938500004,2845298.178450001
20,nomatch_fixed,Arecaceae,Thrinax radiata,palm,572442.2935000003,2845292.300800001,572438.8034500001,2845288.8107500006,572445.7835500004,2845295.790850001
21,nomatch_fixed,,,unknown,572156.6258000003,2845261.5533000007,572153.1357500001,2845258.0632500006,572160.1158500004,2845265.043350001
22,polygon,,,unknown,572165.2564000003,2845277.6143000005,572164.4223999996,2845277.0890999995,572168.5751999998,2845281.5703999996
23,polygon,,,unknown,572163.1698000003,2845272.2373000006,572154.5426000003,2845263.608100001,572173.679,2845281.9278999995
24,nomatch_fixed,Arecaceae,Serenoa repens,palm,572561.0765000003,2845108.6658000005,572557.5864500002,2845105.1757500004,572564.5665500005,2845112.1558500007
25,nomatch_fixed,Arecaceae,Ptychosperma microcarpum,palm,572535.2248000003,2845160.7486000005,572531.7347500002,2845157.2585500004,572538.7148500005,2845164.2386500007
26,polygon,,,unknown,572889.6282000003,2845163.0704000005,572884.6767999995,2845159.1471999995,572894.9601999996,2845168.8288000003
27,merged_fixed,Arecaceae,ptychosperma elegans,palm,572537.1583000002,2845157.0059000007,572533.6682500001,2845153.5158500005,572540.6483500004,2845160.495950001
28,merged_fixed,,,unknown,572878.8036000002,2845174.899200001,572875.3135500001,2845171.4091500007,572882.2936500004,2845178.389250001
29,nomatch_fixed,,,unknown,572871.1038000003,2845175.903600001,572867.6137500001,2845172.4135500006,572874.5938500004,2845179.393650001
30,nomatch_fixed,Arecaceae,Archontophoenix cunninghamiana,palm,572313.937,2844498.7831000006,572310.4469500001,2844495.2930500004,572317.4270500004,2844502.2731500007
31,nomatch_fixed,Arecaceae,Sabal Palmetto,palm,572457.3813000002,2845250.4081000006,572453.8912500001,2845246.9180500004,572460.8713500004,2845253.8981500007
32,polygon,Arecaceae,Archontophoenix cunninghamiana,palm,572331.4761000003,2844504.6721000005,572327.782,2844503.3893,572332.1113999998,2844507.8728
33,polygon,,,unknown,572809.4487000003,2845077.423,572805.8547,2845075.3499,572811.0790999997,2845081.804
34,nomatch_fixed,,,unknown,572813.3545000002,2845022.965800001,572809.8644500001,2845019.4757500007,572816.8445500004,2845026.455850001
35,nomatch_fixed,Bignoniaceae,Tabebuia impetiginosa,other,572467.7562000003,2845233.2452000007,572464.2661500002,2845229.7551500006,572471.2462500004,2845236.735250001
36,merged_fixed,,,unknown,572728.9904000002,2844985.2475000005,572725.5003500001,2844981.7574500004,572732.4804500004,2844988.7375500007
37,merged_fixed,,,unknown,572726.647,2844981.007000001,572723.1569500001,2844977.5169500005,572730.1370500004,2844984.497050001
38,merged_fixed,,,unknown,572882.9883000003,2844851.0014000004,572879.4982500002,2844847.5113500003,572886.4783500005,2844854.4914500006
39,merged_fixed,Arecaceae,Phoenix roebelenii,palm,572610.1851000002,2845221.3561000004,572606.6950500001,2845217.8660500003,572613.6751500004,2845224.8461500006
40,polygon,,,unknown,572148.8866000003,2845219.169500001,572138.9948000005,2845209.203,572158.4478000002,2845230.206700001
41,nomatch_fixed,Capparaceae,Capparis cynophallophora,other,572237.6005000003,2845232.8317000004,572234.1104500002,2845229.3416500003,572241.0905500004,2845236.3217500006
42,nomatch_fixed,Arecaceae,Veitchia montgomeryana,palm,571728.9523000002,2844071.5821000007,571725.4622500001,2844068.0920500006,571732.4423500004,2844075.072150001
43,nomatch_fixed,,,unknown,572944.363,2844882.1221000007,572940.8729500001,2844878.6320500006,572947.8530500004,2844885.612150001
44,nomatch_fixed,,,unknown,572848.8886000003,2844886.4933000007,572845.3985500002,2844883.0032500005,572852.3786500004,2844889.983350001
45,nomatch_fixed,,,unknown,572847.9437000003,2844880.7447000006,572844.4536500002,2844877.2546500005,572851.4337500004,2844884.2347500008
46,nomatch_fixed,,,unknown,572834.6557000002,2844880.9183000005,572831.1656500001,2844877.4282500003,572838.1457500004,2844884.4083500006
47,polygon,Oleaceae,Ligustrum sinense Lour,other,572636.6689000003,2845204.6633000006,572635.0417999998,2845201.496099999,572639.1859,2845206.1665000003
48,polygon,Fabaceae,Lysiloma latisiliquum,other,572628.8039000003,2845196.3169000004,572624.9946999997,2845192.6575000007,572630.0270999996,2845198.5934999995
49,nomatch_fixed,,,unknown,572190.3428000002,2845181.6046000007,572186.8527500001,2845178.1145500005,572193.8328500004,2845185.094650001
50,polygon,,,unknown,572181.202,2845190.745400001,572176.064,2845185.2006,572186.3512000004,2845195.7891000006
51,merged_fixed,,,unknown,572194.2281000003,2845190.699100001,572190.7380500002,2845187.2090500006,572197.7181500004,2845194.189150001
52,merged_fixed,,,unknown,572197.1976000003,2845190.5385000007,572193.7075500002,2845187.0484500006,572200.6876500004,2845194.028550001
53,polygon,Arecaceae,Cocos nucifera,palm,572844.3596000003,2845193.036000001,572841.8254000004,2845188.662,572846.8755000001,2845194.0415000003
54,nomatch_fixed,,,unknown,572186.9052000003,2845186.4485000004,572183.4151500001,2845182.9584500003,572190.3952500004,2845189.9385500005
55,nomatch_fixed,,,unknown,572200.8892000003,2845187.0074000005,572197.3991500002,2845183.5173500003,572204.3792500005,2845190.4974500006
56,nomatch_fixed,Malvaceae,Thespesia populnea,other,572156.0734000002,2844211.352,572152.5833500001,2844207.8619500003,572159.5634500004,2844214.8420500006
57,nomatch_fixed,,,unknown,572194.4689000003,2845186.0443000006,572190.9788500002,2845182.5542500005,572197.9589500005,2845189.534350001
58,nomatch_fixed,,,unknown,572180.8257000003,2845185.5629000007,572177.3356500001,2845182.0728500006,572184.3157500004,2845189.052950001
59,nomatch_fixed,,,unknown,572184.2489000002,2845182.3858000007,572180.7588500001,2845178.8957500006,572187.7389500004,2845185.875850001
60,nomatch_fixed,,,unknown,572204.393,2845138.3527000006,572200.9029500001,2845134.8626500005,572207.8830500004,2845141.842750001
61,merged_fixed,,,unknown,572861.9421000002,2845181.7107000006,572858.4520500001,2845178.2206500005,572865.4321500004,2845185.200750001
62,nomatch_fixed,,,unknown,572182.2703000003,2845179.945000001,572178.7802500002,2845176.4549500006,572185.7603500005,2845183.435050001
63,polygon,,,unknown,572209.9579000003,2845179.7845000005,572203.331,2845177.6215000004,572214.1579,2845185.705499999
64,polygon,,,unknown,572864.9918000003,2845178.5005000005,572862.5991000002,2845178.1843,572868.3740999997,2845185.0008000005
65,nomatch_fixed,,,unknown,572180.5047000003,2845177.4572000005,572177.0146500001,2845173.9671500004,572183.9947500004,2845180.9472500007
66,polygon,,,unknown,572201.0497000003,2845174.0062000006,572198.1416999996,2845171.5142,572203.9233999997,2845177.9535000008
67,nomatch_fixed,,,unknown,572190.3428000002,2845176.4482000005,572186.8527500001,2845172.9581500003,572193.8328500004,2845179.9382500006
68,nomatch_fixed,,,unknown,572187.2178000002,2845171.9949000007,572183.7277500001,2845168.5048500006,572190.7078500004,2845175.484950001
69,nomatch_fixed,,,unknown,572214.6929000003,2845169.7527000005,572211.2028500001,2845166.2626500004,572218.1829500004,2845173.2427500007
70,merged_fixed,Combretaceae,Terminalia buceras,other,572698.2746000002,2845167.7839000006,572694.7845500001,2845164.2938500005,572701.7646500004,2845171.2739500008
71,merged_fixed,,,unknown,572208.5133000002,2845168.5489000008,572205.0232500001,2845165.0588500006,572212.0033500004,2845172.038950001
72,nomatch_fixed,,,unknown,572188.3696000003,2845165.980900001,572184.8795500002,2845162.4908500006,572191.8596500005,2845169.470950001
73,nomatch_fixed,,,unknown,572183.2333000003,2845165.3388000005,572179.7432500002,2845161.8487500004,572186.7233500005,2845168.8288500006
74,nomatch_fixed,,,unknown,572197.5186000003,2845165.1783000007,572194.0285500002,2845161.6882500006,572201.0086500004,2845168.668350001
75,nomatch_fixed,,,unknown,572191.7403000003,2845162.2089000004,572188.2502500002,2845158.7188500003,572195.2303500004,2845165.6989500006
76,merged_fixed,Arecaceae,Dypsis decaryi,palm,572516.7561000002,2845162.2259000004,572513.2660500001,2845158.7358500003,572520.2461500004,2845165.7159500006
77,nomatch_fixed,,,unknown,572180.6652000003,2845161.6471000006,572177.1751500001,2845158.1570500005,572184.1552500004,2845165.137150001
78,nomatch_fixed,,,unknown,572180.8257000003,2845161.4866000004,572177.3356500001,2845157.9965500003,572184.3157500004,2845164.9766500005
79,nomatch_fixed,,,unknown,572188.6104000002,2845161.1656000004,572185.1203500001,2845157.6755500003,572192.1004500004,2845164.6556500006
80,polygon,Maracas,Ficus callosa ,other,572228.1756000003,2845159.8815000006,572224.3558,2845157.3017999995,572229.403,2845162.1405999996
81,merged_fixed,Arecaceae,Sabal Palmetto,palm,572781.367,2845159.2395000006,572777.8769500002,2845155.7494500005,572784.8570500005,2845162.7295500007
82,merged_fixed,Arecaceae,Ptychosperma lauderbachii,palm,572538.0367000003,2845158.9185000006,572534.5466500001,2845155.4284500005,572541.5267500004,2845162.4085500007
83,merged_fixed,Fagaceae,Quercus virginiana,other,572521.203,2845157.1549000004,572517.7129500002,2845153.6648500003,572524.6930500005,2845160.6449500006
84,nomatch_fixed,,,unknown,572181.3582000002,2845157.932100001,572177.8681500001,2845154.4420500007,572184.8482500004,2845161.422150001
85,nomatch_fixed,,,unknown,572203.4711000003,2845162.309000001,572199.9810500002,2845158.8189500007,572206.9611500005,2845165.799050001
86,nomatch_fixed,,,unknown,572198.8829000003,2845157.7949000006,572195.3928500002,2845154.3048500004,572202.3729500005,2845161.2849500007
87,merged_fixed,,,unknown,572204.4979000003,2845169.3594000004,572201.0078500002,2845165.8693500003,572207.9879500004,2845172.8494500006
88,nomatch_fixed,,,unknown,572214.218,2845162.7882000008,572210.7279500001,2845159.2981500006,572217.7080500004,2845166.278250001
89,nomatch_fixed,,,unknown,572184.1964000002,2845156.1898000007,572180.7063500001,2845152.6997500006,572187.6864500004,2845159.679850001
90,nomatch_fixed,,,unknown,572204.2241000002,2845155.1217000005,572200.7340500001,2845151.6316500003,572207.7141500004,2845158.6117500006
91,merged_fixed,Fagaceae,Quercus virginiana,other,572510.0279000002,2845156.029400001,572506.5378500001,2845152.5393500007,572513.5179500004,2845159.519450001
92,nomatch_fixed,,,unknown,572189.1721000003,2845153.8625000007,572185.6820500002,2845150.3724500006,572192.6621500005,2845157.352550001
93,nomatch_fixed,,,unknown,572196.9054000003,2845168.401100001,572193.4153500001,2845164.9110500007,572200.3954500004,2845171.891150001
94,nomatch_fixed,,,unknown,572216.34,2845157.1751000006,572212.8499500002,2845153.6850500004,572219.8300500005,2845160.6651500007
95,nomatch_fixed,Arecaceae,Carpentaria acumnata,palm,572623.0257000002,2845153.6217000005,572619.5356500001,2845150.1316500003,572626.5157500004,2845157.1117500006
96,merged_fixed,Arecaceae,Dypsis plumosa,palm,572526.4968000003,2845152.4263000004,572523.0067500002,2845148.9362500003,572529.9868500005,2845155.9163500005
97,merged_fixed,Casuarinaceae,Casuarina equisetifolia,other,572827.7547000003,2845155.4405000005,572824.2646500001,2845151.9504500004,572831.2447500004,2845158.9305500006
98,merged_fixed,Arecaceae,Ptychosperma schefferi ,palm,572544.799,2845151.5772000006,572541.3089500001,2845148.0871500005,572548.2890500004,2845155.067250001
99,nomatch_fixed,,,unknown,572187.999,2845149.0256000008,572184.5089500002,2845145.5355500006,572191.4890500004,2845152.515650001
100,nomatch_fixed,,,unknown,572195.3517000002,2845149.93,572191.8616500001,2845146.4399500005,572198.8417500004,2845153.420050001
101,nomatch_fixed,Myrtaceae,Psidium cattleianum,other,572576.7994000003,2845149.4485000004,572573.3093500001,2845145.9584500003,572580.2894500004,2845152.9385500005
102,nomatch_fixed,,,unknown,572844.6874000003,2845148.4052000004,572841.1973500001,2845144.9151500002,572848.1774500004,2845151.8952500005
103,merged_fixed,Arecaceae,Copernicia baileyana,palm,572544.5372000003,2845147.281600001,572541.0471500001,2845143.7915500007,572548.0272500004,2845150.771650001
104,nomatch_fixed,,,unknown,572182.7518000003,2845146.960600001,572179.2617500002,2845143.4705500007,572186.2418500005,2845150.450650001
105,nomatch_fixed,Fagaceae,Quercus virginiana,other,572522.2171000002,2845145.7647000006,572518.7270500001,2845142.2746500005,572525.7071500004,2845149.254750001
106,nomatch_fixed,Casuarinaceae,Casuarina equisetifolia,other,572818.0305000002,2845141.7693000007,572814.5404500001,2845138.2792500006,572821.5205500004,2845145.259350001
107,nomatch_fixed,,,unknown,572209.8777000003,2845143.3491000007,572206.3876500002,2845139.8590500006,572213.3677500004,2845146.839150001
108,nomatch_fixed,,,unknown,572198.9631000003,2845143.1887000008,572195.4730500001,2845139.6986500006,572202.4531500004,2845146.678750001
109,nomatch_fixed,Arecaceae,Cryosophila stauracantha,palm,572525.7278000002,2845141.9419000004,572522.2377500001,2845138.4518500003,572529.2178500004,2845145.4319500006
110,nomatch_fixed,,,unknown,572185.962,2845141.9046000005,572182.4719500002,2845138.4145500003,572189.4520500004,2845145.3946500006
111,nomatch_fixed,,,unknown,572839.2302000002,2845140.6205000007,572835.7401500001,2845137.1304500005,572842.7202500004,2845144.110550001
112,nomatch_fixed,,,unknown,572190.6167000002,2845140.2996000005,572187.1266500001,2845136.8095500004,572194.1067500004,2845143.7896500006
113,nomatch_fixed,Fagaceae,Quercus virginiana,other,572530.986,2845133.7253000005,572527.4959500001,2845130.2352500004,572534.4760500004,2845137.2153500007
114,nomatch_fixed,Asparagaceae,Dracaena reflexa,other,572493.7602000003,2845141.1315000006,572490.2701500001,2845137.6414500005,572497.2502500004,2845144.6215500007
115,nomatch_fixed,Arecaceae,Thrinax Radiata,palm,572338.4223000003,2845123.2774000005,572334.9322500002,2845119.7873500003,572341.9123500005,2845126.7674500006
116,merged_fixed,Fagaceae,Quercus virginiana,other,572537.5862000003,2845128.3672000007,572534.0961500001,2845124.8771500005,572541.0762500004,2845131.857250001
117,merged_fixed,Arecaceae,Copernicia yarey var. robusta,palm,572563.1276000002,2845121.0636000005,572559.6375500001,2845117.5735500003,572566.6176500004,2845124.5536500006
118,nomatch_fixed,,,unknown,572830.0812000002,2845125.5328000006,572826.5911500001,2845122.0427500005,572833.5712500004,2845129.0228500008
119,merged_fixed,Arecaceae,Syagrus sp.,palm,572582.3769000003,2845121.0342000006,572578.8868500001,2845117.5441500004,572585.8669500004,2845124.5242500007
120,nomatch_fixed,Arecaceae,Copernicia macroglossa,palm,572565.8848000002,2845118.4704000005,572562.3947500001,2845114.9803500003,572569.3748500004,2845121.9604500006
121,polygon,Arecaceae,corypha umbraculifera,palm,572572.1446000002,2845114.217000001,572568.6701999996,2845107.0383,572577.5109000001,2845116.714
122,nomatch_fixed,Arecaceae,Roystonea regia ,palm,572583.4371000003,2845115.7793000005,572579.9470500002,2845112.2892500004,572586.9271500005,2845119.2693500007
123,nomatch_fixed,Arecaceae,Thrinax radiata,palm,572555.4397000002,2845113.219000001,572551.9496500001,2845109.7289500004,572558.9297500004,2845116.7090500006
124,nomatch_fixed,,,unknown,572819.7284000003,2845111.087000001,572816.2383500001,2845107.5969500006,572823.2184500004,2845114.577050001
125,polygon,Arecaceae,Wodyetia bifurcata,palm,572677.2775000003,2845110.6055000005,572676.6298000002,2845109.0516,572680.4212999996,2845113.537799999
126,polygon,,,unknown,572837.3074000003,2845110.5945000006,572831.8054,2845107.387599999,572839.3974000001,2845115.1023999993
127,nomatch_fixed,Arecaceae,Gaussia sp.,palm,572578.2656000003,2845102.5399000007,572574.7755500001,2845099.0498500005,572581.7556500004,2845106.029950001
128,nomatch_fixed,Arecaceae,Aiphanes horrida,palm,572574.7127000003,2845102.7406000006,572571.2226500001,2845099.2505500005,572578.2027500004,2845106.2306500007
129,nomatch_fixed,Arecaceae,Coccothrinax borhidiana,palm,572580.17,2845102.580100001,572576.6799500001,2845099.0900500007,572583.6600500004,2845106.070150001
130,merged_fixed,,,unknown,572815.475,2845102.4196000006,572811.9849500002,2845098.9295500005,572818.9650500005,2845105.9096500007
131,polygon,,,unknown,572846.7457000003,2845103.6731000007,572839.5964000002,2845096.1731000002,572850.7987000002,2845109.076199999
132,polygon,,,unknown,572873.8592000003,2845102.1858000006,572862.7032000003,2845092.3505000006,572880.1522000004,2845109.6012999993
133,nomatch_fixed,Arecaceae,schippia concolor,palm,572567.8109000003,2845098.4069000008,572564.3208500001,2845094.9168500006,572571.3009500004,2845101.896950001
134,nomatch_fixed,Arecaceae,Dypsis lutescens,palm,572693.0073000003,2845096.3203000007,572689.5172500001,2845092.8302500006,572696.4973500004,2845099.810350001
135,nomatch_fixed,,,unknown,572858.4912000003,2844880.2763000005,572855.0011500001,2844876.7862500004,572861.9812500004,2844883.7663500006
136,nomatch_fixed,,,unknown,572818.1772000003,2844881.1384000005,572814.6871500001,2844877.6483500004,572821.6672500004,2844884.6284500007
137,nomatch_fixed,,,unknown,572942.2129000003,2844855.9024000005,572938.7228500001,2844852.4123500003,572945.7029500004,2844859.3924500006
138,nomatch_fixed,,,unknown,572824.1619000003,2844876.7286000005,572820.6718500002,2844873.2385500004,572827.6519500004,2844880.2186500006
139,nomatch_fixed,,,unknown,572822.587,2844884.682100001,572819.0969500002,2844881.1920500007,572826.0770500004,2844888.172150001
140,nomatch_fixed,,,unknown,572841.3289000003,2844876.019800001,572837.8388500002,2844872.5297500007,572844.8189500005,2844879.509850001
141,nomatch_fixed,,,unknown,572855.281,2844877.8687000005,572851.7909500002,2844874.3786500003,572858.7710500004,2844881.3587500006
142,nomatch_fixed,,,unknown,572854.2435000002,2844884.0521000004,572850.7534500001,2844880.5620500003,572857.7335500004,2844887.5421500006
143,nomatch_fixed,,,unknown,572947.8942000003,2844876.1031000004,572944.4041500002,2844872.6130500003,572951.3842500005,2844879.5931500006
144,nomatch_fixed,,,unknown,572830.8838000003,2844874.177000001,572827.3937500002,2844870.6869500005,572834.3738500004,2844877.6670500007
145,nomatch_fixed,,,unknown,572848.7002000003,2844874.177000001,572845.2101500002,2844870.6869500005,572852.1902500005,2844877.6670500007
146,nomatch_fixed,Rutaceae,Citrus x sinensis,other,572518.6469000003,2844871.4911000007,572515.1568500001,2844868.0010500005,572522.1369500004,2844874.981150001
147,nomatch_fixed,,,unknown,572827.0316000002,2844870.9668000005,572823.5415500001,2844867.4767500004,572830.5216500004,2844874.4568500007
148,nomatch_fixed,,,unknown,572834.5755000003,2844867.9172000005,572831.0854500001,2844864.4271500004,572838.0655500004,2844871.4072500006
149,merged_fixed,,,unknown,572840.434,2844865.8306000005,572836.9439500001,2844862.3405500003,572843.9240500004,2844869.3206500006
150,polygon,,,unknown,572948.3758000003,2844860.533800001,572943.1387,2844856.5066,572952.3183000004,2844864.6087999996
151,nomatch_fixed,,,unknown,572879.9993000003,2844856.4408000004,572876.5092500001,2844852.9507500003,572883.4893500004,2844859.9308500006
152,merged_fixed,,,unknown,572888.1852000003,2844852.0269000004,572884.6951500002,2844848.5368500003,572891.6752500004,2844855.5169500005
153,merged_fixed,Fabaceae,Enterolobium cyclocarpum,other,572579.9293000003,2844850.582300001,572576.4392500002,2844847.0922500007,572583.4193500004,2844854.072350001
154,merged_fixed,,,unknown,572936.6586000003,2844849.539000001,572933.1685500002,2844846.0489500007,572940.1486500005,2844853.029050001
155,nomatch_fixed,,,unknown,572885.7776000003,2844847.211700001,572882.2875500001,2844843.7216500007,572889.2676500004,2844850.701750001
156,merged_fixed,Combretaceae,Conocarpus erectus,other,572129.9329000002,2844856.729800001,572126.4428500001,2844853.2397500006,572133.4229500004,2844860.219850001
157,merged_fixed,,,unknown,572928.1517000003,2844845.125,572924.6616500001,2844841.6349500003,572931.6417500004,2844848.6150500006
158,merged_fixed,,,unknown,572923.4167000003,2844843.841,572919.9266500002,2844840.3509500003,572926.9067500004,2844847.3310500006
159,polygon,,,unknown,572892.9201000002,2844843.3594000004,572887.8904999997,2844839.193499999,572895.8312,2844845.8258999996
160,merged_fixed,,,unknown,572934.4115000003,2844841.0321000004,572930.9214500001,2844837.5420500003,572937.9015500004,2844844.5221500006
161,polygon,,,unknown,572897.6552000003,2844837.099600001,572894.0516999997,2844834.1981000006,572899.1128000002,2844839.7431000005
162,merged_fixed,,,unknown,572919.9658000002,2844835.1735000005,572916.4757500001,2844831.6834500004,572923.4558500004,2844838.6635500006
163,nomatch_fixed,,,unknown,572925.4231000002,2844832.5251000007,572921.9330500001,2844829.0350500005,572928.9131500004,2844836.015150001
164,nomatch_fixed,,,unknown,572916.2741000003,2844831.3213000004,572912.7840500001,2844827.8312500003,572919.7641500004,2844834.8113500006
165,nomatch_fixed,,,unknown,572905.0385000003,2844829.7162000006,572901.5484500001,2844826.2261500005,572908.5285500004,2844833.2062500007
166,nomatch_fixed,Arecaceae,Rhapidophyllum hystrix,palm,572556.5753000003,2845095.3572000004,572553.0852500001,2845091.8671500003,572560.0653500004,2845098.8472500006
167,merged_fixed,,,unknown,572742.8212000002,2844995.9955000007,572739.3311500001,2844992.5054500005,572746.3112500004,2844999.485550001
168,nomatch_fixed,,,unknown,572878.0176000003,2845020.8847000008,572874.5275500001,2845017.3946500006,572881.5076500004,2845024.374750001
169,merged_fixed,Myrtaceae,Eucalyptus deglupta,other,572665.5604000003,2844995.3607000005,572662.0703500002,2844991.8706500004,572669.0504500004,2844998.8507500007
170,nomatch_fixed,,,unknown,572795.8929000003,2844993.7556000007,572792.4028500002,2844990.2655500006,572799.3829500005,2844997.245650001
171,polygon,,,unknown,572826.2625000003,2844993.061000001,572819.4671999998,2844989.3956000004,572828.1366999997,2844997.6393
172,merged_fixed,,,unknown,572734.2579000003,2844993.2741000005,572730.7678500002,2844989.7840500004,572737.7479500005,2844996.7641500006
173,merged_fixed,,,unknown,572808.2521000003,2845092.227300001,572804.7620500001,2845088.7372500007,572811.7421500004,2845095.717350001
174,merged_fixed,,,unknown,572731.6734000003,2844990.1394000007,572728.1833500002,2844986.6493500005,572735.1634500005,2844993.629450001
175,merged_fixed,,,unknown,572836.3411000003,2844992.2308000005,572832.8510500002,2844988.7407500003,572839.8311500004,2844995.7208500006
176,nomatch_fixed,,,unknown,572739.5546000003,2844992.1505000005,572736.0645500001,2844988.6604500003,572743.0446500004,2844995.6405500006
177,nomatch_fixed,,,unknown,572855.6021000003,2844991.9097000007,572852.1120500001,2844988.4196500005,572859.0921500004,2844995.399750001
178,polygon,,,unknown,572814.5922000003,2844991.8294000006,572813.3436000003,2844988.6479,572821.298,2844997.2490999997
179,nomatch_fixed,,,unknown,572831.8416000003,2844992.4951000004,572828.3515500001,2844989.0050500003,572835.3316500004,2844995.9851500005
180,nomatch_fixed,,,unknown,572786.7441000002,2844990.5454000006,572783.2540500001,2844987.0553500005,572790.2341500004,2844994.035450001
181,merged_fixed,,,unknown,572833.9334000003,2844989.261300001,572830.4433500002,2844985.7712500007,572837.4234500005,2844992.751350001
182,polygon,,,unknown,572879.9062000003,2845146.9989000005,572872.678,2845143.839400001,572884.9655,2845157.6656
183,nomatch_fixed,Meliaceae,Swietenia mahagoni,other,572686.5066000003,2845087.0108000007,572683.0165500002,2845083.5207500006,572689.9966500005,2845090.500850001
184,polygon,,,unknown,572876.9587000003,2845124.5243000006,572874.0628000004,2845123.227499999,572882.7164000003,2845132.7258
185,polygon,,,unknown,572896.2402000002,2845163.8243000004,572894.6076999996,2845160.0812,572898.7607000005,2845165.2775
186,nomatch_fixed,,,unknown,572864.0634000002,2845110.8921000008,572860.5733500001,2845107.4020500006,572867.5534500004,2845114.382150001
187,nomatch_fixed,,,unknown,572860.1334000003,2845152.5255000005,572856.6433500001,2845149.0354500003,572863.6234500004,2845156.0155500006
188,nomatch_fixed,Arecaceae,Aiphanes minima,palm,572589.1584000003,2845081.7141000004,572585.6683500002,2845078.2240500003,572592.6484500004,2845085.2041500006
189,merged_fixed,,,unknown,572835.775,2845080.4197000004,572832.2849500001,2845076.9296500003,572839.2650500004,2845083.9097500006
190,nomatch_fixed,Arecaceae,Cocos nucifera,palm,572598.1538000003,2845081.0633000005,572594.6637500002,2845077.5732500004,572601.6438500005,2845084.5533500006
191,merged_fixed,,,unknown,572878.6788000002,2845170.310100001,572875.1887500001,2845166.8200500007,572882.1688500004,2845173.800150001
192,polygon,,,unknown,572822.5999000003,2845084.783800001,572822.2281999998,2845084.032299999,572826.72,2845089.7852
193,nomatch_fixed,,,unknown,572857.1046000003,2845178.832300001,572853.6145500002,2845175.3422500007,572860.5946500005,2845182.322350001
194,merged_fixed,,,unknown,572835.9397000002,2845087.9953000005,572832.4496500001,2845084.5052500004,572839.4297500004,2845091.4853500007
195,polygon,Arecaceae,Elaeis guineensis,palm,572608.5657000003,2845075.121000001,572602.0443000002,2845068.6877999995,572611.2444000002,2845077.4613000005
196,merged_fixed,,,unknown,572859.1008000002,2845183.2853000006,572855.6107500001,2845179.7952500004,572862.5908500004,2845186.7753500007
